ID,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,ImageURL,Category
22,Which classification system is most commonly used for hip fractures?,Garden classification,AO classification,Lauge-Hansen classification,Salter-Harris classification,Neer classification,A,"The Garden classification is the most widely used system for femoral neck fractures,categorizing them into 4 types based on displacement and angulation on AP radiographs.",,Hip and Pelvis
24,What factors would you not consider when deciding which muscle is devitalized during debridement?,Color,Consistency,Compressibility,Capacity to bleed,Contractility,C,"Excise all devitalized tissue. Muscle provides an excellent environment for bacteria to flourish. Thus, extensive debridement of contaminated and devascularized tissue should be completed. Attention to the classic Cs of muscle viability can assist the decision for excision: color, consistency, contractility, and capacity to bleed. Caution should be taken with excision of tendons and ligaments.",,Trauma
11,A 16-year-old male patient presented to the ED following a varus injury to his right knee which was sustained during a football game. It was noted that he was unable to bear weight. There was a gross effusion of the knee which he held at 5 of flexion and examination showed tenderness over the lateral aspect of the distal femur. He also complained that he was having difficulties dorsiflexing his foot. What other features could he present with?,Difficulties inverting his foot,Tingling sensation on the dorsum of his foot,Numbness at the posteromedial side of the lower leg,Inability to plantarflex his big toe,There is posterior sag of the knee,B,"The case vignette seems to suggest that the patient could be suffering from a LCL tear which is complicated by common peroneal nerve palsy. This is because there is a varus injury and common peroneal nerve palsy is usually associated with foot drop, inability in dorsiflexion and eversion, sensory disturbance of anterolateral side of the lower leg and dorsum of foot.",,Knee
58,"An 8 year old girl, Eva, presents with her mother after falling from a trampoline yesterday. She has been unable to walk on her left leg since the accident and is complaining that her ankle is sore. She is otherwise fit and well with no significant PMH. She is on no regular medication, has no known drug allergies. On examination she has a swollen and tender medial malleolus with a markedly reduced ROM. She screams when you touch the medial aspect of her ankle. The foot is neurovascularly intact. No wounds are evident. X-rays which were taken are shown below. What does this X-ray show?",Salter- harris type I,Salter- harris type II,Salter- harris type III,Salter- harris type IV,Salter- harris type V,B,,,Paediatrics,
42,A 29-year-old man sustains a twisting ankle injury. X-ray shows a Weber B distal fibula fracture with medial clear space widening and a small posterior malleolar fragment involving 20% of the tibial plafond. What is the most appropriate management?,Short leg cast non-weight bearing for 6 weeks,Open reduction and internal fixation of fibula only,Syndesmotic screw fixation without fibular fixation,Fibular ORIF with assessment and fixation of posterior malleolus if unstable,Arthroscopic debridement alone,D,"Weber B with medial clear space widening suggests deltoid/syndesmotic injury and instability, generally requiring fibular ORIF. Posterior malleolus fragments involving about 20% are assessed intraoperatively; fixation is based on instability, displacement, and syndesmotic contribution. Fixing the posterior fragment can restore syndesmotic stability. Casting is inappropriate for unstable injuries.",,Foot and Ankle
14,A 24-year-old woman fell from a horse and landed on her outstretched right arm. Radiographs reveal an elbow dislocation with a type II coronoid fracture and a nonreconstructable comminuted radial head fracture. What is the most appropriate management?,"Radial head resection, ORIF of the coronoid, and MCL repair",Radial head resection and LCL repair,Radial head arthroplasty alone,Radial head arthroplasty and LCL repair,"Radial head arthroplasty, ORIF of the coronoid and LCL repair",E,terrible triad injury of the elbow (dislocation + # of the radial head) requiring treatment of each injury - Implant arthroplasty for the comminuted radial head - ORIF of coronoid - LCL repair - usually avulsed from the lateral epicondyle,,Trauma
33,What is the most common complication of scaphoid fractures?,Infection,Nonunion,Nerve injury,Compartment syndrome,Malunion,B,Nonunion is the most common complication of scaphoid fractures due to the bone's retrograde blood supply,,Hand and Wrist
16,The 'Hawkins sign' in talus fractures indicates:,Avascular necrosis,Good blood supply,Malunion,Infection,Delayed union,B,A positive Hawkins sign (subchondral radiolucency seen 6-8 weeks post-injury) indicates maintained blood supply to the talar dome and suggests a lower risk of avascular necrosis.,,Foot and Ankle
7,"A 45 year old gentleman complains of elbow pain on movement that's been progressively worsening over the past few months. On examination, you notice tenderness over palpation of the elbow, yet a full active and passive range of motion of said joint. The patient has reproducible pain with his arm pronated and his middle finger extended against resistance. What pathology does this patient likely have?",Osteochondritis dissecans,Cubitus valgus,Radial head fracture,Tennis elbow,Golfer's elbow,D,,,Pathology,
54,"67-year-old man develops sudden severe right arm pain and paresthesia with brachial artery occlusion, thrombocytopenia (60,000/mm³), and prolonged aPTT six days after femur fracture fixation surgery. What is the most likely explanation?",Peripheral arterial disease,Patent foramen ovale,Thrombotic thrombocytopenic purpura,Adverse effect of medication,Fat embolization,D,"Heparin-induced thrombocytopenia is an immune-mediated adverse effect of heparin occurring 5–14 days after initiation, characterized by thrombocytopenia and paradoxical thrombotic events such as arterial occlusion despite elevated aPTT.",,Trauma
